nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30010000,51.728601274,4.712120126,301.7981,108360.8790,415757.2745,258.0057,51.728601274,4.712120126,301.7981,108360.8790,415757.2745,258.0057,0.000000000,-0.000000000,-0.0000,0.0000,-0.0000,0.0000
30010001,52.115330444,7.684748554,41.4160,312352.6004,461058.5812,-2.5206,52.116313853,7.685521084,-2.5206,312303.1748,460947.5436,41.4160,-0.000983409,-0.000772530,43.9366,49.4256,111.0376,-43.9366
30010002,53.001308983,3.360296728,72.6882,18940.4448,559061.2153,29.9951,53.001308983,3.360296729,72.6882,18940.4447,559061.2153,29.9951,0.000000000,-0.000000001,-0.0000,0.0001,-0.0000,0.0000
30010003,51.682439113,2.739626538,269.9401,-28072.8306,413735.0451,225.6753,51.683363916,2.739678435,225.6753,-28080.1603,413632.3474,269.9401,-0.000924803,-0.000051897,44.2648,7.3297,102.6977,-44.2648
30010004,53.558631914,6.829370962,39.9510,250569.5957,620134.9245,-0.2625,53.558631914,6.829370963,39.9510,250569.5956,620134.9245,-0.2625,0.000000000,-0.000000001,-0.0000,0.0001,-0.0000,0.0000
30010005,51.589888118,3.160820284,-11.4426,729.7127,402466.5599,-55.6883,51.589888117,3.160820285,-11.4426,718.8690,402364.9971,-11.4426,0.000000001,-0.000000001,-0.0000,10.8437,101.5628,-44.2457
30010006,53.957638355,5.089553648,301.2718,135458.0914,663630.6489,260.6568,53.958837754,5.089936477,260.6568,135432.4065,663497.2508,301.2718,-0.001199399,-0.000382829,40.6150,25.6849,133.3981,-40.6150
30010007,52.175136373,2.618267658,77.9387,-34373.0132,468835.5131,33.8482,52.176118301,2.618295645,33.8482,-34379.0966,468726.4046,77.9387,-0.000981928,-0.000027987,44.0905,6.0834,109.1085,-44.0905
30010008,51.593897609,3.927663147,106.9715,53868.5138,401568.0165,62.7610,51.593897609,3.927663147,106.9715,53868.5138,401568.0165,62.7610,0.000000000,-0.000000000,0.0000,0.0000,-0.0000,-0.0000
30010009,53.184783369,5.816489592,203.4425,183697.1899,577653.4349,162.1973,53.184783369,5.816489593,203.4425,183697.1899,577653.4349,162.1973,-0.000000000,-0.000000001,-0.0000,0.0000,0.0000,0.0000
30010010,51.665048744,6.975755518,95.5102,264897.3013,409670.0085,50.7614,51.665048744,6.975755518,95.5102,264897.3013,409670.0085,50.7614,0.000000000,-0.000000000,-0.0000,0.0000,-0.0000,0.0000
30010011,52.895724188,3.977163774,-14.0975,60114.5409,546326.8570,-56.5891,52.895724187,3.977163775,-14.0975,60114.5409,546326.8571,-56.5891,0.000000001,-0.000000001,0.0000,0.0000,-0.0001,-0.0000
30010012,52.625706976,7.426184226,267.7075,293049.2890,517300.6867,225.1625,52.626750395,7.426919766,225.1625,293002.7780,517183.2264,267.7075,-0.001043419,-0.000735540,42.5450,46.5110,117.4603,-42.5450
30010013,53.140259161,3.321991798,220.7720,16812.5046,574592.6914,178.2825,53.140259161,3.321991799,220.7720,16812.5045,574592.6914,178.2825,0.000000000,-0.000000001,0.0000,0.0001,-0.0000,-0.0000
30010014,51.825323002,5.049883673,3.4374,131745.5792,426355.6419,-40.1293,51.825323002,5.049883674,3.4374,131745.5791,426355.6419,-40.1293,0.000000000,-0.000000001,-0.0000,0.0001,-0.0000,0.0000
30010015,50.967871682,2.645053232,26.9382,-37597.7813,334519.6739,-17.4082,50.968712451,2.645100133,-17.4082,-37604.5809,334426.3181,26.9382,-0.000840769,-0.000046901,44.3464,6.7996,93.3558,-44.3464
30010016,52.564969595,2.960450296,174.1037,-9524.1621,511355.0771,130.6485,52.565998817,2.960523945,130.6485,-9532.9946,511240.7823,174.1037,-0.001029222,-0.000073649,43.4552,8.8325,114.2948,-43.4552
30010017,51.891451991,3.940964982,271.4349,55448.2064,434649.2759,227.6923,51.891451991,3.940964982,271.4349,55448.2064,434649.2759,227.6923,0.000000000,-0.000000000,-0.0000,0.0000,-0.0000,0.0000
30010018,51.749850783,4.704324531,99.3574,107844.5008,418126.3146,55.5892,51.749850782,4.704324532,99.3574,107844.5007,418126.3147,55.5892,0.000000001,-0.000000001,-0.0000,0.0001,-0.0001,0.0000
30010019,52.716916247,4.971955798,232.1489,126941.2885,525583.8295,189.7350,52.716916246,4.971955799,232.1489,126941.2885,525583.8296,189.7350,0.000000001,-0.000000001,0.0000,0.0000,-0.0001,-0.0000
30010020,53.473095072,6.886681267,290.4741,254565.6835,610693.7409,250.1468,53.473095072,6.886681268,290.4741,254565.6835,610693.7409,250.1468,-0.000000000,-0.000000001,0.0000,0.0000,0.0000,-0.0000
30010021,52.763874938,4.069800843,115.9049,66080.2628,531539.0239,73.2384,52.763874937,4.069800844,115.9049,66080.2627,531539.0240,73.2384,0.000000001,-0.000000001,0.0000,0.0001,-0.0001,-0.0000
30010022,51.219509537,3.242243400,81.3849,5158.5834,361104.5680,36.9294,51.219509537,3.242243401,81.3849,5158.5833,361104.5680,36.9294,0.000000000,-0.000000001,0.0000,0.0001,-0.0000,-0.0000
